Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
PunnkFunnk T800 ultra Series 8 smart watch with AI assi...,8.3,45,,Unknown,"T800 ultra Series 8 smart watch with AI assistant, bluetooth calling and fitness",Android and ios,2,1/29/2025 2:26
"Fire-Boltt Astra Luxury Stainless Steel Smart Watch, Bl...",22.4875,45,,Unknown,"Astra Luxury Stainless Steel Smart Watch, Bluetooth Calling with 1.28 Display",Android and ios,32,1/29/2025 2:26
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...",21.2375,45,,Unknown,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Android and ios,32,1/29/2025 2:26
Data not available,19.9875,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:26
Data not available,17.4875,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:27
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",13.7375,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:27
Titan Celestor|India's Most Accurate In-Built GPS |Alti...,124.9375,45,,Unknown,Celestor|India's Most Accurate In-Built GPS |Altimeter|Barometer|Compass|Strava,Android and ios,32,1/29/2025 2:27
"Pebble Ultra Rapid 30 Min Full Charge 1.83"" HD Display,...",13.7375,45,,Unknown,"Ultra Rapid 30 Min Full Charge 1.83"" HD Display, Premium Metal Build, BT Calling",Android & IOS,32,1/29/2025 2:27
"Melbon H20 Ultra Bluetooth calling, Phone Book,Music Co...",14.9875,45,,Unknown,"H20 Ultra Bluetooth calling, Phone Book,Music Control,Voice assis. with 1 - TWS",Android and ios,2,1/29/2025 2:27
"boAt Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Displa...",18.7375,45,,Unknown,"Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Display,BT Calling, Functional Crown",Android and ios,32,1/29/2025 2:27
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...",17.4875,45,,Unknown,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",Android and ios,32,1/29/2025 2:27
"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...",18.7375,45,,Unknown,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",Android and ios,32,1/29/2025 2:27
"boAt Wave Genesis with 1.96'' HD Display, BT Calling, F...",19.9875,45,,Unknown,"Wave Genesis with 1.96'' HD Display, BT Calling, Functional Crown & Metal Body",Android and ios,32,1/29/2025 2:27
"Fire-Boltt Retro 39.1mm (1.54) Display, Bluetooth call,...",24.9875,39.1,,Unknown,"Retro 39.1mm (1.54) Display, Bluetooth call, Voice Assistance, Steel Straps",Android and ios,32,1/29/2025 2:27
"boAt Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Scr...",18.7375,45,,Unknown,"Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Screen, Crest App, QR Code Tray","iOS 9 and Above, Android 6 and Above",32,1/29/2025 2:27
Data not available,11.8625,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:27
"Boult Crown Pro 2.01"" AMOLED, BT Calling, Working Crown...",19.9875,45,,Unknown,"Crown Pro 2.01"" AMOLED, BT Calling, Working Crown, AOD, Zinc Alloy Frame, SpO2",Android and ios,32,1/29/2025 2:27
"Fire-Boltt Dream WristPhone - 4G SIM/LTE/WiFi, Android ...",62.4875,45,,Unknown,"Dream WristPhone - 4G SIM/LTE/WiFi, Android OS, Play store unlimited apps, GPS",Android and ios,32,1/29/2025 2:27
