Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Dell Precision75308750H@RadeonWX4150,241.6,16.0,Core i7,Precision 7530,Dell,AMD Radeon Pro WX4150,15.6,16.0,2025-01-31 23:53:44
HP EliteBook 745 G6 14v.WCA,244.99,16.0,Ryzen 7,HP EliteBook 745 G6 14v.WCA,HP,Unknown Graphics,14.0,512.0,2025-01-31 23:53:31
Dell dows,245.0,16.0,Core i5,Dell Latitude 5500,Dell,Intel UHD Graphics 620,15.6,512.0,2025-01-31 23:53:52
Microsoft Surface 13.51035G7P Touch,247.74,16.0,Core i5,Microsoft Surface Laptop,Microsoft,Unknown Graphics,13.5,128.0,2025-01-31 23:53:30
14HP Book QC ~ dows!,247.99,16.0,Core i5,HP ProBook 640 G4,HP,Intel HD Graphics,14.0,256.0,2025-01-31 23:53:57
Dell Latitude 5410 14Businessdows,248.23,16.0,Core i5,Dell Latitude 5410,Dell,Intel UHD Graphics,14.0,256.0,2025-01-31 23:53:45
Dell Latitude 14Quad dows,248.77,16.0,Core i5,Dell Latitude 5420,Dell,Intel Iris Xe Graphics,14.0,256.0,2025-01-31 23:53:57
HP Elitebook 840 G5 8350U 14NVMeBT.-,249.0,16.0,Ryzen 7,HP Elitebook 840 G5 8350U 14NVMeBT.-,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:49
Lenovo inkPad~ dows!,249.95,16.0,Core i5,Lenovo ThinkPad E580,Lenovo,Intel HD Graphics,15.6,480.0,2025-01-31 23:53:09
Lenovo inkPad E141465G7,249.99,8.0,Core i7,ThinkPad E14 Gen 2,Lenovo,Integrated Intel Iris Xe Graphics,14.0,512.0,2025-01-31 23:54:05
Dell Latitude 7400 14 8665UNVME,249.99,16.0,Core i7,Dell Latitude 7400,Dell,Intel UHD Graphics 620,14.0,256.0,2025-01-31 23:53:03
Jumper ''N3350// EMCC !,249.99,16.0,Unknown CPU,N 3350,Jumper,Unknown Graphics,13.3,64.0,2025-01-31 23:53:47
Ultra Slim N3700 1920x1080 display dows11,253.96,16.0,Unknown CPU,Ultra Slim N3700 1920x1080 display dows11,notebook,Unknown Graphics,15.6,2000.0,2025-01-31 23:52:54
LenovoTouch i315G4,254.99,8.0,Core i3,IdeaPad 3i,Lenovo,Intel UHD Graphics,15.6,256.0,2025-01-31 23:53:39
Dell Latitude 5420 45G7 (s ...,254.99,16.0,Core i7,Dell Latitude 5420 45G7 (s ...,,Unknown Graphics,14.0,512.0,2025-01-31 23:52:55
ASUS FullHD 1920x1080 Lightweight,255.51,4.0,Unknown CPU,ASUS VivoBook X,ASUS,Unknown Graphics,15.6,128.0,2025-01-31 23:53:48
HP100UNVMe14.0 H 14EP1063CL,255.99,12.0,Unknown CPU,14-ep1063cl,HP,Intel Graphics,14.0,512.0,2025-01-31 23:53:17
2024 HPComputer 14 4cessor Office 365 AICopilot,258.8,16.0,Unknown CPU,HP Flagship,HP,Intel UHD Graphics,14.0,512.0,2025-01-31 23:52:55
Dell Inspiron 349314IN Int 1035G4 dows 10 S,259.0,8.0,Core I5,Dell Inspiron 14 3493,Dell,Intel Core i5 10th Gen.,14.0,256.0,2025-01-31 23:53:47
Lenovo inkPad T480 148350u NVMECAM,259.99,16.0,core i5,Lenovo ThinkPad T480,Lenovo,Unknown Graphics,14.0,512.0,2025-01-31 23:53:42
HP HD 35G7 dows 10,259.99,8.0,Unknown CPU,15-dy2125od,HP,Intel Iris Xe Graphics,15.6,256.0,2025-01-31 23:54:07
HP ZBook Studio G4dows 10,259.99,16.0,Core i7,HP ZBook Studio G4,HP,Intel HD Graphics 630,15.6,256.0,2025-01-31 23:53:05
Samsung Galaxy Book Go 5G 14+ Cellular Unlocked,263.99,16.0,Unknown CPU,Samsung Galaxy Book,Samsung,Unknown Graphics,14.0,128.0,2025-01-31 23:54:00
HP Book 650 G2 6820HQ,269.0,16.0,Core i7,HP ProBook,HP,Intel HD Graphics,15.6,1000.0,2025-01-31 23:53:36
~Backlit !~ 14Dell Latitude QC ~ !,269.99,24.0,Core i5,Dell Latitude 5400,Dell,Intel HD Graphics,14.0,1000.0,2025-01-31 23:53:58
Dell Latitude 10thQuad~ NVME,274.95,32.0,Core i5,Dell Latitude 5510,Dell,Intel HD Graphics,15.6,512.0,2025-01-31 23:52:54
Dell Latitude 5400 14HDdows,278.62,16.0,Core i7,Dell Latitude 5400 14HDdows,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:06
Lenovo inkPad E15inch 35G7NVME,279.0,16.0,Core i5,ThinkPad E15 Gen 2,Lenovo,Intel UHD Graphics,15.6,512.0,2025-01-31 23:54:07
Microsoft Surface15Touch 1065G7,279.0,16.0,Core i7,Microsoft Surface Laptop,Microsoft,Intel UHD Graphics,15.0,256.0,2025-01-31 23:53:42
Size 13.1LT131EE11000 Full HD LED Screen Panel Screenin France,279.52,16.0,Unknown CPU,Size 13.1LT131EE11000 Full HD LED Screen Panel Screenin France,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:49
HP EliteBook 840 G6 8365U 14,280.56,16.0,Core i7,HP EliteBook 840 G6 8365U 14,,Unknown Graphics,14.0,512.0,2025-01-31 23:54:02
Lenovo inkPad4500U ~ dows !,284.95,16.0,Core i7,Lenovo inkPad4500U ~ dows !,,Unknown Graphics,14.0,512.0,2025-01-31 23:54:07
Lenovo Flex- 14IRU8 ( 1355U),285.0,16.0,Core i7,Lenovo Flex 14,Lenovo,Intel Iris Xe Graphics,14.0,1000.0,2025-01-31 23:52:57
Dell Latitude 5300 2inTouch13dows,285.99,16.0,Unknown CPU,Dell Latitude 5300 2inTouch13dows,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:57
Dell Latitude 7320dows,292.54,16.0,Core i7,Dell Latitude 7320,Dell,Intel HD Graphics,13.3,256.0,2025-01-31 23:55:31
Lenovo IdeaPad Flex 14Touch,294.99,16.0,Core i7,Lenovo IdeaPad Flex 14Touch,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:35
