Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
HP Elitebook 830 G5 8550U Renewed,269.99,16.0,Intel Core i7 7th Gen.,HP Elitebook 830 G5 8550U Renewed,,Unknown Graphics,14.0,512.0,1/29/2025 22:22
~DOWSDell Latitude QC!,279.99,16.0,Intel Core i5 8th Gen.,Dell Latitude 5500,Dell,Intel HD Graphics,15.6,512.0,1/29/2025 22:23
HP Elitebook 840 G68565URenewed,279.99,16.0,Intel Core i3 i3-1215U,HP Elitebook 840 G68565URenewed,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
Dell Latitude 7410 1410610uNVMeCAM,279.99,16.0,intel core i7 10610u,Dell Latitude 7410,Dell,Intel UHD Graphics,14.0,512.0,1/29/2025 22:23
Dell Latitude5400 14 8665U,279.99,16.0,Intel Core i7 8th Gen.,DELL LATITUDE 5400,Dell,Intel UHD Graphics 620,14.0,500.0,1/29/2025 22:23
HP EliteBook 840 G58650U14.0,280.49,16.0,Intel Core i7 8th Gen.,840 G5,HP,Intel UHD Graphics 620,14.0,256.0,1/29/2025 22:22
Lenovo inkPad4500U ~ dows !,284.95,16.0,AMD Ryzen 5 4500U,Lenovo ThinkPad E15 2nd Gen,Lenovo,Intel HD Graphics,15.6,512.0,1/29/2025 22:23
HP EliteBook 830 G7 1920x1080 32,284.99,16.0,Intel Core i5 2nd Gen.,HP EliteBook 830 G7 1920x1080 32,,Unknown Graphics,14.0,512.0,1/29/2025 22:22
Dell Latitude 7320dows,292.54,16.0,Intel Core i7-8665U,Dell Latitude 7320dows,,Unknown Graphics,14.0,512.0,1/29/2025 22:22
Dell Latitudedows,293.55,16.0,Ryzen 7 7435HS,Dell Latitudedows,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
Acer Aspire- A51558PT 1335U,295.0,8.0,Intel Core i5 13th Gen.,Acer  Aspire 5,Acer,Intel Iris Xe Graphics,15.6,512.0,1/29/2025 22:23
HP EliteBook 850 G7 dows,298.52,16.0,Intel Core i5-10210U,HP EliteBook 850 G7,HP,Intel UHD Graphics,15.6,512.0,1/29/2025 22:23
HP Slim144 Upto +OFFICE,299.0,16.0,Intel Pentium,HP 14 Essential,HP,Intel UHD Graphics,14.0,512.0,1/29/2025 22:23
HP 14DQ1088WM 14,299.98,8.0,Intel Core i5 10th Gen.,14-DQ1088WM,HP,Intel UHD Graphics,14.0,256.0,1/29/2025 22:23
Lenovo IdeaPad 1i Storage82QD003VUS,299.99,8.0,Intel Core i5 12th Gen.,Lenovo IdeaPad 1 15IAU7,Lenovo,Intel Iris Xe Graphics,15.6,256.0,1/29/2025 22:23
HP EliteBook 830 G7,299.99,32.0,Intel Core i7-10610U,HP EliteBook 830 G7,HP,Unknown Graphics,13.3,256.0,1/29/2025 22:23
HP EliteBook 830 G7,299.99,32.0,Intel Core i7-10610U,HP EliteBook 830 G7 Notebook PC,HP,Unknown Graphics,13.3,256.0,1/29/2025 22:22
Lenovo inkPad T490s 14TOUCH8565U,299.99,16.0,Intel Core i7 8th Gen.,Lenovo ThinkPad T490 (20N3-S7FT00),Lenovo,Intel UHD Graphics 620,14.0,512.0,1/29/2025 22:23
TOUCH DELL INSPIRON 7415 2IN1/ 5700/ / NVME //BACKLIT,299.99,16.0,Intel Core i5 13th Gen.,TOUCH DELL INSPIRON 7415 2IN1/ 5700/ / NVME //BACKLIT,,Unknown Graphics,14.0,512.0,1/29/2025 22:22
Lenovo inkPad T470 14LCD Cam,299.99,32.0,Intel Core i5 6th Gen.,Lenovo ThinkPad T470,Lenovo,Intel HD Graphics,14.0,1000.0,1/29/2025 22:23
BrandAcer CB5144HT359X 14TS Chromebook -- i3N305,299.99,16.0,Intel Core i5 6th Gen.,BrandAcer CB5144HT359X 14TS Chromebook -- i3N305,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
HP Elitebook 850 G3HD 6300U 6300,300.57,16.0,2.4 GHz apple_ci5,Does not apply,HP,Does not apply,15.6,512.0,1/29/2025 22:23
Lenovo inkPad L13 Yoga2in45G7 Touch,313.99,16.0,Intel Core i5 11th Gen.,Lenovo ThinkPad L13 Yoga Gen 2,Lenovo,Intel Iris Xe Graphics,13.3,1000.0,1/29/2025 22:23
Dell Precision ~ FirePro!,314.95,16.0,Intel Core i5 6th Gen.,Dell Precision ~ FirePro!,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
HP14HD i315G4 dows,315.27,32.0,Intel Core i3-1115G4,HP 14,HP,Intel UHD Graphics,14.0,1000.0,1/29/2025 22:23
Dell Latitude 5520 45G7 dows,319.99,16.0,Intel Core i5 11th Gen.,Latitude 5520 Laptop,Dell,Integrated Graphics,15.6,512.0,1/29/2025 22:23
HP Elitebook 830 G6 8365U Renewed,323.51,16.0,i5-8365U,Elitebook 830 G6,Dell,Unknown Graphics,13.0,256.0,1/29/2025 22:22
Dell Inspiron 157730UTouch,324.99,16.0,i7-7600U,Dell Inspiron 157730UTouch,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
Dell Latitude14th dows,328.37,16.0,Intel Core i7-1185G7,Dell Latitude 5420,Dell,Intel Iris Xe Graphics,14.0,512.0,1/29/2025 22:23
HP Book 450 G7 dows,328.37,16.0,Intel Core i7 10th Gen.,HP ProBook 450 G7,HP,Intel HD Graphics,15.6,256.0,1/29/2025 22:23
DELL Latitude~NVME dows!,328.95,32.0,Intel Core i7-8650U,Dell Latitude 7300,Dell,Intel UHD Graphics 620,13.3,1000.0,1/29/2025 22:22
Dell Inspiron 7730Ui3535A813BLK,329.0,16.0,Ryzen 7 7730U,Dell Inspiron 7730Ui3535A813BLK,Dell,Unknown Graphics,15.6,512.0,1/29/2025 22:23
14DELL LatitudeQC~NVME dows!,329.95,16.0,Ryzen 7 7435HS,14DELL LatitudeQC~NVME dows!,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
