title,price,image_url,promo,coupon,collection_date
Title not available,$488.98,https://m.media-amazon.com/images/I/71hj6O0vZAL._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$155.70,https://m.media-amazon.com/images/I/71oYSGF0gVS._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$49.41,https://m.media-amazon.com/images/I/51BYlhxYIFL._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$549.00,https://m.media-amazon.com/images/I/61s6bh84g5L._AC_SX148_SY213_QL70_.jpg,No promotion,$90.00 off coupon applied,2025-01-12 19:09:29
Title not available,Price not available,https://m.media-amazon.com/images/I/71F-Wcriq4L._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$396.94,https://m.media-amazon.com/images/I/71aTEZOda0L._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$282.00,https://m.media-amazon.com/images/I/71wKJVtV-+L._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,"$1,180.49",https://m.media-amazon.com/images/I/71F-Wcriq4L._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$309.00,https://m.media-amazon.com/images/I/81tnwNLrlDL._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$219.99,https://m.media-amazon.com/images/I/71bwzCMcQvL._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$119.99,https://m.media-amazon.com/images/I/51muPv+cJzL._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$329.00,https://m.media-amazon.com/images/I/81StbXTGn1L._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
Title not available,$849.99,https://m.media-amazon.com/images/I/71fBFBDNPXL._AC_SX148_SY213_QL70_.jpg,No promotion,No coupon,2025-01-12 19:09:29
"Mini PC i9 13900H 32GB RAM 1TB SSD 13th Gen 14Cores 20Threads 5.4GHz Max, Thunderbolt 4 Desktop Gaming Personal Computer Support 8K Quad Display/2x2.5G LAN/Win 11 Pro/WiFi 6/BT 5.2/4x USB 3.2",$849.99,https://m.media-amazon.com/images/I/71PsK3tJd3L._AC_UY218_.jpg,"Wed, Jan 22",$100.00 off coupon applied,2025-01-12 19:09:40
"Full HD 1080P Video Webcam and Wide Angle Camera with Built-in Microphone and Rotatable Tripod,for Laptop Computer or Desktop PC,Great for Live Streaming.Calls.Video Conferencing(Black)-1",$49.99,https://m.media-amazon.com/images/I/81OaP1sXqlL._AC_UY218_.jpg,"Thu, Jan 23",30% off coupon applied,2025-01-12 19:09:40
