Title,Price,Case Size,Battery Capacity,Model,Operating System,Storage Capacity,Price (USD)
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",1099.0,1.85,Upto 7 Days,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android & iOS,,13.188
Titan Celestor|India's Most Accurate In-Built GPS |Alti...,9995.0,36.322,10 Days,Celestor|India's Most Accurate In-Built GPS |Altimeter|Barometer|Compass|Strava,Android & iOS,,119.94
"Pebble Ultra Rapid 30 Min Full Charge 1.83"" HD Display,...",1099.0,46.48,Upto 5 Days,"Ultra Rapid 30 Min Full Charge 1.83"" HD Display, Premium Metal Build, BT Calling",Android & iOS,,13.188
"Melbon H20 Ultra Bluetooth calling, Phone Book,Music Co...",1199.0,50.0,3 Days after proper use and Normal Use 7 Days,"H20 Ultra Bluetooth calling, Phone Book,Music Control,Voice assis. with 1 - TWS",Android & iOS,2.0,14.388
"boAt Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Displa...",1499.0,38.6,Upto 7 days,"Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Display,BT Calling, Functional Crown",Android & iOS,,17.988
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...",1399.0,1.69,Upto 7 Days,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",Android & iOS,,16.788
"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...",1499.0,1.69,7 Days,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",Android & iOS,,17.988
"boAt Wave Genesis with 1.96'' HD Display, BT Calling, F...",1599.0,1.96,Upto 7 days,"Wave Genesis with 1.96'' HD Display, BT Calling, Functional Crown & Metal Body",Android & iOS,,19.188
"Fire-Boltt Retro 39.1mm (1.54) Display, Bluetooth call,...",1999.0,39.116,Upto 5 days based upon usage,"Retro 39.1mm (1.54) Display, Bluetooth call, Voice Assistance, Steel Straps",Android & iOS,,23.988
"boAt Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Scr...",1499.0,51.0,Upto 7 days,"Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Screen, Crest App, QR Code Tray",Android & iOS,,17.988
,949.0,,,,,,11.388
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",1099.0,1.85,Upto 7 Days,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android & iOS,,13.188
"Boult Crown Pro 2.01"" AMOLED, BT Calling, Working Crown...",1599.0,53.34,Upto 5 Days,"Crown Pro 2.01"" AMOLED, BT Calling, Working Crown, AOD, Zinc Alloy Frame, SpO2",Android & iOS,,19.188
"Fire-Boltt Dream WristPhone - 4G SIM/LTE/WiFi, Android ...",4999.0,51.308,Upto 4 hours,"Dream WristPhone - 4G SIM/LTE/WiFi, Android OS, Play store unlimited apps, GPS",Android,,59.988
Apple Watch Series 10 GPS + Cellular 46mm Silver Alumin...,59900.0,46.0,Upto 18 Hours On Normal Use,Watch Series 10 GPS + Cellular 46mm Silver Aluminium with Blue Cloud Sport Loop,iOS,,718.8000000000001
"boAt Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Displa...",1499.0,38.6,Upto 7 days,"Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Display,BT Calling, Functional Crown",Android & iOS,,17.988
"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...",1399.0,1.69,Upto 7 Days,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",Android & iOS,,16.788
"Fire-Boltt Lumos 48.5mm (1.91 inch) Display, BT Call, S...",1499.0,48.514,Upto 7 Days,"Lumos 48.5mm (1.91 inch) Display, BT Call, Steel Design, 100+ Sports Modes",Android & iOS,,17.988
"boAt Enigma Z20, 1.51 inch HD Display,BT Calling,Sturdy...",2499.0,1.51,Upto 7 Days,"Enigma Z20, 1.51 inch HD Display,BT Calling,Sturdy & Luxurious Metal Body Design",Android & iOS,,29.988
"Cellecor BLAZE 2.01"" AMOLED Display | 900 NITS| AOD| BT...",1199.0,51.054,"Long Lasting 7 Days Backup with Calling, 15 Days without calling, Standby time - 35 Days","BLAZE 2.01"" AMOLED Display | 900 NITS| AOD| BT-Calling| AI Voice| SplitScreen",Android & iOS,,14.388
