Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors
AMD yeston amd radeon gaming sa rx 7700 xt 12g 256bit 5nm cards sa,685.1,AMD,2.0,GDDR6,GeForce RTX 4060,3 x DisplayPort 1.4a: 8K @ 60Hz; HDMI 2.1a: 8K @ 60 Hz
EVGA GeForce RTX 3070,975.8,EVGA,8.0,GDDR6,GeForce RTX 3070,VGA
EVGA GeForce RTX 2070,824.1,EVGA,4.0,GDDR5,GeForce RTX 2070,VGA
EVGA GeForce RTX 2070,123.1,EVGA,4.0,GDDR5,GeForce RTX 2070,VGA
EVGA GeForce RTX 2070,399.1,EVGA,4.0,GDDR5,GeForce RTX 2070,VGA
EVGA GeForce RTX 2070,234.5,EVGA,4.0,GDDR5,GeForce RTX 2070,VGA
EVGA GeForce RTX 3090,273843011.7,EVGA,24.0,GDDR6,GeForce RTX 3090,VGA
EVGA GeForce RTX 3090,169.6,EVGA,4.0,GDDR6,GeForce RTX 3090,VGA
ZOTAC GeForce RTX 3050,244.8,ZOTAC,6.0,GDDR6,GeForce RTX 3050,VGA
ZOTAC GeForce RTX 3050,109.5,ZOTAC,6.0,GDDR6,GeForce RTX 3050,VGA
EVGA GeForce GT 640,278.9,EVGA,6.0,GDDR6,GeForce GT 640,VGA
AMD sapphire amd firepro w5000 i pci,250.7,AMD,2.0,GDDR5,GeForce GT 640,DVI
ZOTAC GeForce GT 730,1199126.5,ZOTAC,4.0,GDDR5,GeForce GT 730,DVI
ZOTAC GeForce RTX 3050,483.9,ZOTAC,8.0,GDDR6,GeForce RTX 3050,PCI Express
ZOTAC zotac gaming gf rtx 4070 supert,914.2,ZOTAC,8.0,GDDR6,GeForce RTX 3050,PCI Express
EVGA GeForce RTX 3060,687.5,EVGA,8.0,GDDR6,GeForce RTX 3060,PCI Express
NVIDIA GeForce RTX 4060,852.3,NVIDIA,8.0,GDDR6,GeForce RTX 4060,PCI Express
ASUS asus tuf rtx 4090 40 384bit gdrr6x 21a dp,3831.6,ASUS,24.0,GDDR6,GeForce RTX 4060,HDMI
ASUS GeForce RTX 4060,69.9,ASUS,4.0,GDDR5,GeForce RTX 4060,HDMI
ZOTAC zotac gaming geforce rtx 3090 trinity 384bit 195 gbps 40,2245.2,ZOTAC,24.0,GDDR6,GeForce RTX  3090,HDMI
NVIDIA dell 38xnm nvidia quadro 4000 400 mhz pcie,189.7,NVIDIA,2.0,GDDR5,GeForce RTX  3090,HDMI
NVIDIA GeForce RTX  3090,74.0,NVIDIA,2.0,GDDR5,GeForce RTX  3090,VGA
EVGA GeForce GT 640,278.9,EVGA,2.0,GDDR5,GeForce GT 640,DisplayPort; HDMI
EVGA GeForce GT 640,914.2,EVGA,2.0,GDDR5,GeForce GT 640,DisplayPort; HDMI
EVGA GeForce GT 640,109.5,EVGA,2.0,GDDR5,GeForce GT 640,DisplayPort; HDMI
ASUS asus tuf rtx 4090 40 384bit gdrr6x 21a dp,3831.6,ASUS,1.0,GDDR5,GeForce GT 640,VGA; DVI; HDMI
GALAX galax geforce rtx 4070 d6 1click 2x xtreme tuner app control,764.0,GALAX,1.0,GDDR5,GeForce RTX  4070,VGA; DVI; HDMI
EVGA GeForce RTX 3060,687.5,EVGA,1.0,GDDR5,GeForce RTX 3060,VGA; DVI; HDMI
EVGA GeForce RTX 3060,69.9,EVGA,8.0,‎GDDR6,GeForce RTX 3060,VGA; DVI; HDMI
EVGA GeForce RTX 3060,81.5,EVGA,8.0,‎GDDR6,GeForce RTX 3060,DVI
ZOTAC zotac gaming geforce rtx 3090 trinity 384bit 195 gbps 40,2245.2,ZOTAC,8.0,‎GDDR6,GeForce RTX  3090,DVI
ZOTAC GeForce RTX 3060,497.5,ZOTAC,12.0,GDDR6,GeForce RTX 3060,DisplayPort; HDMI
NVIDIA dell 38xnm nvidia quadro 4000 400 mhz pcie,189.7,NVIDIA,2.0,GDDR5,GeForce RTX 3060,DisplayPort; HDMI
NVIDIA GeForce RTX 4060,852.3,NVIDIA,8.0,GDDR6,GeForce RTX 4060,DisplayPort; HDMI
ASUS GeForce GTX 960,278.9,ASUS,2.0,GDDR6,GeForce GTX 960,DisplayPort
ASUS asus tuf rtx 4090 40 384bit gdrr6x 21a dp,3783.7,ASUS,24.0,GDDR6,GeForce GTX 960,HDMI
GeForce RTX 4070,1836.5,ASUS,24.0,GDDR6,GeForce RTX 4070,HDMI
GeForce RTX 4070,1566.8,ASUS,11.0,GDDR5,GeForce RTX 4070,DisplayPort 1.4; HDMI 2.0b
ASUS GeForce RTX 4070,181.9,ASUS,11.0,GDDR5,GeForce RTX 4070,DisplayPort 1.4; HDMI 2.0b
ASUS GeForce RTX 4070,128.6,ASUS,11.0,GDDR5,GeForce RTX 4070,DisplayPort 1.4; HDMI 2.0b
