Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
ASRock Radeon RX 6600 8GB PCI Express 4.0 Video Graphics Card CLD 8G GPU,$198.99 ,ASRock,8 GB,GDDR6,AMD Radeon RX 6600,"DisplayPort, HDMI",2/1/2025 17:56
Gigabyte GeForce GT 1030 Low Profile D4 2G Computer Graphics Card,US $27.89,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
For ASUS G73JW G53JW G73SW G53S Graphic Video VGA Card GTX460M 1.5G / GTX560M 2G,$27.44 ,Unbranded,/,/,GTX460M 1.5G / GTX560M 2G,/,2/1/2025 17:56
For ASUS G73JW G53JW G73SW G53SW G53SX N12E-GS-A1 2GB GTX560M Video Graphic Card,$31.60 ,Akemy,2GB,/,NVIDIA GeForce GTX 560,/,2/1/2025 17:56
PowerColor Radeon RX 6950 XT 16GB Red Devil GDDR6 Video Graphics Card GPU,$529.99 ,PowerColor,16 GB,GDDR6,AMD Radeon RX 6950 XT,"DisplayPort, HDMI",2/1/2025 17:56
Zotac NVIDIA GeForce RTX 4060 Twin Edge 8GB GDDR6 Graphic Card,$285.00 ,Not Available,8 GB,GDDR6,3Ddlabs wildcat II 5110,N/A,2/1/2025 17:56
EVGA XC3 Ultra Gaming Geforce RTX 3070 Graphics Card 8GB GDDR6 GPU - US Seller,$310.00/ea,EVGA,8 GB,GDDR6,Nvidia GeForce RTX 3070,"DisplayPort, HDMI",2/1/2025 17:56
AMD Radeon Pro WX 2100 2GB GDDR5 Graphics Card Low Profile. SKU221076,$29.29 ,AMD RADEON,2100,N/A,Does not apply,N/A,2/1/2025 17:56
NVIDIA Quadro P4000 8GB GDDR5 Graphics Card,$199.99 ,NVIDIA,N/A,N/A,Does not apply,N/A,2/1/2025 17:56
PowerColor Red Devil AMD Radeon RX 5700 XT 8GB GDDR6 Graphics Card,$169.95 ,PowerColor,8 GB,GDDR6,AMD Radeon RX 5700 XT,"DisplayPort, HDMI",2/1/2025 17:56
